Province,District,Year,Commodity,Soil_pH,Soil_N_index,Soil_P_index,Soil_K_index,Area_Ha,Target_Yield_KgHa,Pupuk_Urea_kgHa,Pupuk_SP36_kgHa,Pupuk_KCl_kgHa
Maluku,Seram Bagian Barat,2024,Padi,4.8,2,4,2,14.37,4250.0,250.2,123.3,78.9
Gorontalo,Gorontalo,2023,Jagung,5.86,2,3,4,42.41,4615.1,258.3,109.3,77.3
Jawa Tengah,Tegal,2021,Cabai Rawit,5.81,3,3,2,5.19,6571.6,254.5,111.3,81.7
Sulawesi Tengah,Palu,2018,Cabai Rawit,5.55,2,2,2,1.37,10175.4,262.6,136.8,88.9
Maluku,Ambon,2021,Tebu,4.3,2,1,2,71.58,94025.7,251.0,105.6,89.3
Sulawesi Barat,Polewali Mandar,2025,Padi,5.48,3,3,2,22.64,5469.1,225.5,104.9,74.7
Jambi,Sarolangun,2023,Cabai Rawit,5.28,2,2,2,2.95,10276.5,295.5,132.0,93.9
Kalimantan Timur,Kutai Timur,2019,Bawang Merah,5.74,3,3,3,4.08,12608.0,285.3,132.3,81.6
Aceh,Lhokseumawe,2018,Padi,4.94,2,3,4,13.82,6156.6,228.3,116.8,87.2
Sulawesi Barat,Mamasa,2020,Cabai Rawit,4.72,3,1,5,2.15,10853.4,281.4,119.2,104.6
Sulawesi Utara,Manado,2024,Jagung,5.71,3,3,3,20.04,4518.0,247.6,121.4,50.0
Jawa Barat,Cirebon,2020,Padi,4.91,2,3,3,36.38,5449.4,260.3,116.1,75.3
Jambi,Kota Jambi,2024,Jagung,4.76,2,2,1,47.88,6949.4,221.9,138.9,79.4
DI Yogyakarta,Kulon Progo,2024,Cabai Rawit,6.35,1,1,4,3.79,6021.2,246.1,105.9,80.7
Papua Pegunungan,Yalimo,2019,Bawang Merah,4.64,4,1,1,2.11,7207.2,237.3,121.2,88.3
Sumatera Utara,Serdang Bedagai,2025,Padi,5.16,4,3,3,43.57,5023.5,282.7,115.4,74.7
Kepulauan Riau,Lingga,2020,Jagung,5.62,3,1,4,47.64,7308.2,260.1,134.8,65.0
Kalimantan Utara,Malinau,2022,Padi,4.2,1,5,2,9.52,6036.1,282.0,90.5,84.6
DI Yogyakarta,Kulon Progo,2025,Tebu,7.29,2,4,3,13.42,79540.8,270.8,112.3,86.3
Bali,Tabanan,2019,Tebu,4.87,5,3,2,15.99,67123.5,266.9,101.5,103.0
Sumatera Selatan,Ogan Ilir,2025,Bawang Merah,6.36,3,1,1,4.95,10156.0,200.2,108.7,83.6
Sulawesi Selatan,Barru,2019,Bawang Merah,5.37,3,3,5,11.64,13980.2,269.0,144.1,85.9
Kalimantan Selatan,Banjarbaru,2020,Cabai Rawit,5.4,3,4,2,9.61,10060.9,260.3,134.6,87.7
Sulawesi Utara,Bitung,2024,Jagung,4.97,1,2,2,14.39,5200.8,255.6,113.4,63.7
Bali,Buleleng,2021,Tebu,5.13,3,3,3,27.04,68504.5,257.9,120.6,73.1
Sulawesi Barat,Mamuju Tengah,2022,Padi,5.08,1,3,2,20.37,4520.4,271.0,128.1,69.6
Kepulauan Riau,Bintan,2025,Bawang Merah,4.32,4,3,2,1.73,7784.2,237.7,102.7,88.0
Sulawesi Barat,Mamasa,2021,Cabai Rawit,5.15,3,2,2,3.45,11574.6,264.1,116.9,83.0
Maluku Utara,Halmahera Selatan,2024,Bawang Merah,5.19,1,1,3,3.27,13382.8,268.1,117.5,85.6
Maluku Utara,Halmahera Selatan,2024,Tebu,6.24,3,3,2,13.42,55901.3,244.5,130.2,77.3
Lampung,Metro,2021,Tebu,6.02,3,3,3,31.45,62497.8,272.1,117.4,78.9
Bali,Badung,2022,Padi,6.05,2,3,4,14.38,7634.9,270.9,103.9,74.7
Maluku,Seram Bagian Timur,2024,Bawang Merah,5.7,2,2,2,3.24,11546.2,254.6,140.0,89.2
Papua Barat Daya,Raja Ampat,2022,Jagung,5.94,1,3,1,20.84,8040.9,259.2,108.9,80.3
Papua Barat,Manokwari,2020,Padi,5.51,2,2,4,7.76,4871.4,267.3,125.5,83.6
Nusa Tenggara Barat,Sumbawa,2018,Padi,6.89,1,3,2,8.47,4921.4,238.5,107.5,68.8
Jawa Timur,Madiun,2024,Tebu,5.22,2,3,2,28.19,72342.2,248.4,135.5,89.2
Sumatera Utara,Deli Serdang,2023,Cabai Rawit,5.41,1,1,4,5.47,6355.1,262.9,80.1,92.9
Kalimantan Selatan,Banjarmasin,2022,Tebu,5.39,3,2,2,32.11,77733.3,264.3,114.4,82.6
Sulawesi Selatan,Parepare,2025,Bawang Merah,4.75,2,2,3,5.84,11617.6,237.0,123.9,90.4
Lampung,Metro,2020,Bawang Merah,5.58,2,2,3,2.94,13020.0,248.4,126.6,66.0
Sumatera Selatan,Ogan Komering Ulu,2022,Jagung,5.38,3,1,2,46.13,5073.3,250.1,120.0,67.4
Aceh,Aceh Utara,2024,Padi,5.03,4,2,2,19.13,6532.3,235.2,133.9,89.0
Papua Barat,Teluk Wondama,2023,Padi,5.69,2,2,3,37.7,6937.4,243.0,117.5,79.1
Sulawesi Selatan,Bone,2021,Padi,5.44,4,2,5,13.29,7228.6,253.8,114.9,78.3
Kalimantan Tengah,Kotawaringin Barat,2018,Cabai Rawit,4.85,3,3,2,3.75,7632.4,259.1,124.3,94.3
Bengkulu,Lebong,2022,Tebu,5.24,1,3,3,150.0,62543.8,250.6,119.4,70.6
Aceh,Bener Meriah,2018,Tebu,4.62,3,3,1,56.1,89163.4,259.3,143.7,83.7
DKI Jakarta,Jakarta Barat,2022,Padi,6.3,2,3,2,28.95,6761.2,267.9,115.8,74.9
Kalimantan Tengah,Kapuas,2018,Padi,4.81,2,2,1,26.26,4786.0,243.1,98.7,92.2
Bangka Belitung,Belitung,2022,Padi,5.91,5,1,1,14.03,7562.4,261.9,107.1,81.8
Jawa Tengah,Kebumen,2021,Tebu,6.0,4,2,2,26.0,52546.8,232.7,137.2,80.8
Kalimantan Tengah,Kotawaringin Timur,2021,Bawang Merah,4.38,2,4,4,3.57,11876.6,256.8,122.6,73.7
Nusa Tenggara Timur,Alor,2025,Jagung,6.04,1,3,2,11.97,6541.8,259.3,114.9,87.8
Jambi,Tanjung Jabung Timur,2020,Jagung,5.25,3,1,2,34.13,6651.6,293.6,128.9,82.8
Gorontalo,Gorontalo Utara,2024,Padi,5.48,3,2,2,49.25,5985.0,252.2,120.2,75.1
Sulawesi Tengah,Donggala,2018,Jagung,4.34,4,3,3,8.69,4602.3,265.8,96.0,64.8
Jambi,Tebo,2023,Padi,4.95,1,3,1,9.24,4928.8,260.9,113.3,86.2
Kalimantan Selatan,Tanah Laut,2024,Bawang Merah,4.2,3,3,3,1.6,8398.2,252.4,110.4,82.5
Nusa Tenggara Timur,Lembata,2019,Tebu,5.67,1,3,1,30.79,71407.2,225.9,125.7,90.5
Kalimantan Timur,Paser,2018,Tebu,5.32,2,2,1,28.04,89751.4,216.6,108.3,65.3
Jambi,Muaro Jambi,2021,Padi,6.09,3,1,1,11.25,6264.1,238.2,124.2,85.2
Jawa Barat,Indramayu,2018,Bawang Merah,6.28,3,2,3,1.23,12723.7,227.3,99.9,94.2
Sumatera Barat,Pasaman,2020,Tebu,5.4,2,3,4,48.81,86095.1,254.5,139.6,73.5
Lampung,Pesawaran,2020,Padi,4.8,2,2,2,21.33,6177.9,217.8,103.8,69.1
Sulawesi Barat,Mamasa,2021,Cabai Rawit,6.0,2,3,5,7.13,11280.1,243.9,121.8,92.7
Sulawesi Selatan,Parepare,2025,Jagung,5.64,3,2,3,18.79,7913.0,250.7,106.0,86.5
Bengkulu,Bengkulu,2023,Cabai Rawit,4.57,2,2,3,4.2,8278.8,242.4,108.9,78.6
Papua Pegunungan,Lanny Jaya,2024,Jagung,6.77,3,3,4,20.92,6522.9,253.3,139.4,71.0
Papua Barat,Kaimana,2025,Cabai Rawit,5.23,4,4,3,3.73,7865.2,215.0,117.2,83.4
Sumatera Utara,Langkat,2018,Padi,4.2,2,2,4,40.99,5016.1,256.8,123.2,72.5
Sulawesi Tengah,Poso,2023,Jagung,5.19,3,1,2,35.29,8316.5,253.7,127.7,76.7
Lampung,Pringsewu,2023,Cabai Rawit,5.83,3,1,3,1.21,7454.4,226.9,108.8,83.9
Kalimantan Barat,Landak,2024,Tebu,4.65,3,5,4,42.74,98603.4,278.0,131.0,60.7
Nusa Tenggara Barat,Dompu,2018,Tebu,6.52,2,2,3,41.45,69367.6,257.0,159.0,58.1
Sumatera Barat,Solok,2020,Jagung,6.3,3,3,2,17.31,4806.4,261.7,85.2,83.0
Papua Selatan,Asmat,2024,Padi,5.72,2,3,3,23.28,6839.2,227.9,150.7,71.2
Sulawesi Tenggara,Konawe,2020,Cabai Rawit,5.46,2,3,3,3.11,5969.4,268.5,125.6,66.4
Sulawesi Tenggara,Konawe,2022,Padi,5.66,4,4,4,37.23,7131.2,223.1,96.4,77.0
Jawa Timur,Malang,2021,Bawang Merah,6.92,2,2,3,1.45,13021.9,268.0,110.4,78.4
Sumatera Utara,Langkat,2018,Padi,5.33,2,4,1,16.4,5289.0,227.2,131.4,73.2
Kalimantan Selatan,Tanah Laut,2024,Bawang Merah,6.14,3,2,3,4.28,10004.1,201.3,122.0,86.7
Bengkulu,Bengkulu,2022,Bawang Merah,6.36,3,2,1,1.79,11756.4,239.0,123.2,71.7
Nusa Tenggara Barat,Lombok Timur,2019,Tebu,6.22,1,2,3,16.61,70974.7,271.2,130.4,71.9
Jambi,Sarolangun,2023,Bawang Merah,5.12,2,1,2,4.42,9979.7,267.2,104.8,74.8
Sumatera Barat,Pasaman,2019,Tebu,5.24,2,1,1,40.99,98041.6,233.5,131.6,80.7
Gorontalo,Boalemo,2023,Tebu,5.95,1,2,3,48.82,58564.8,253.6,129.1,81.8
Papua,Sarmi,2023,Cabai Rawit,5.23,2,2,4,2.89,10647.3,286.0,145.8,83.1
Bengkulu,Kepahiang,2021,Jagung,4.2,1,1,3,31.32,4278.8,244.3,111.1,76.5
Kepulauan Riau,Karimun,2020,Padi,5.98,3,3,1,25.85,5397.0,250.7,115.2,63.1
Papua Tengah,Deiyai,2023,Bawang Merah,6.01,3,4,3,1.57,12658.5,239.5,117.3,80.5
Papua Barat Daya,Maybrat,2021,Tebu,4.57,2,1,3,14.65,96915.7,251.5,127.1,67.9
Nusa Tenggara Barat,Bima,2019,Cabai Rawit,7.36,3,2,1,3.35,11137.6,243.2,104.9,70.8
Maluku,Maluku Tengah,2020,Jagung,4.59,2,2,1,20.12,7014.7,261.4,129.5,75.5
Kepulauan Riau,Bintan,2021,Bawang Merah,5.53,4,2,1,1.74,8777.7,238.5,130.1,80.4
Bengkulu,Kepahiang,2025,Tebu,6.41,3,3,4,29.76,72497.7,262.0,121.7,83.2
Nusa Tenggara Timur,Belu,2022,Bawang Merah,5.91,3,2,4,3.47,12104.8,228.5,109.4,81.5
Sulawesi Tenggara,Konawe,2020,Tebu,5.67,4,4,2,85.38,67510.2,219.6,130.6,74.9
Kalimantan Tengah,Pulang Pisau,2022,Bawang Merah,5.47,3,3,1,8.19,13403.5,268.5,137.1,74.0
Kalimantan Utara,Tana Tidung,2018,Jagung,5.71,2,3,3,13.51,3729.7,268.2,112.8,89.1
Kalimantan Selatan,Banjar,2020,Cabai Rawit,4.2,2,1,3,7.09,9262.2,227.3,101.5,70.7
Papua Barat,Kaimana,2024,Bawang Merah,5.16,2,2,4,7.75,7227.0,251.1,105.1,92.0
Jawa Tengah,Tegal,2021,Jagung,4.78,4,3,2,24.31,8908.2,280.0,123.4,64.7
Papua Selatan,Boven Digoel,2019,Jagung,5.47,2,2,3,27.92,7087.6,294.7,105.7,69.1
Sulawesi Tenggara,Buton,2024,Cabai Rawit,6.91,1,1,3,6.96,9781.1,253.7,125.9,80.8
Sulawesi Barat,Mamasa,2021,Padi,6.73,3,2,1,21.37,4770.0,244.5,130.0,76.3
Kalimantan Barat,Sanggau,2023,Jagung,5.59,3,1,2,29.25,5523.5,244.4,96.9,70.9
Nusa Tenggara Timur,Lembata,2025,Tebu,6.37,4,2,5,67.65,85175.1,256.9,147.3,77.2
DKI Jakarta,Kep. Seribu,2025,Padi,5.42,1,2,3,14.41,7127.5,266.4,102.0,83.5
DKI Jakarta,Jakarta Utara,2021,Bawang Merah,5.46,2,3,1,7.61,8251.7,252.0,112.6,75.9
Banten,Lebak,2021,Tebu,6.18,2,2,3,50.71,98689.4,261.3,111.0,65.3
Jawa Tengah,Boyolali,2018,Bawang Merah,4.47,3,2,3,1.13,9104.0,243.9,105.8,93.2
Sulawesi Selatan,Wajo,2019,Jagung,5.86,4,1,3,29.84,7179.6,276.6,142.1,86.3
Kalimantan Timur,Samarinda,2022,Jagung,5.2,2,2,2,53.22,6739.3,270.3,121.9,70.8
Jawa Timur,Bojonegoro,2022,Cabai Rawit,6.67,3,2,4,10.22,9672.1,224.0,119.2,77.4
Bengkulu,Lebong,2024,Tebu,6.3,3,2,3,49.09,62943.0,231.0,103.3,75.0
Riau,Kampar,2022,Bawang Merah,6.32,2,3,2,7.18,11435.0,243.3,131.3,83.7
Lampung,Pringsewu,2025,Tebu,5.83,1,1,2,25.54,85037.8,263.6,131.4,77.0
Banten,Pandeglang,2023,Jagung,7.35,1,2,2,20.3,3613.2,273.4,126.1,50.8
DKI Jakarta,Jakarta Timur,2018,Bawang Merah,5.62,3,2,2,6.87,10882.8,207.9,141.0,60.8
Sulawesi Utara,Manado,2021,Cabai Rawit,4.43,4,2,5,5.02,6458.6,201.0,136.7,66.5
Bali,Klungkung,2020,Padi,5.27,1,2,2,9.9,7035.7,226.6,103.4,97.4
Bali,Buleleng,2021,Tebu,5.41,2,2,1,74.15,51346.7,263.3,98.4,93.4
Kalimantan Barat,Kubu Raya,2021,Tebu,4.91,2,5,3,38.86,54894.19431896726,259.2,132.0,82.5
Papua Selatan,Mappi,2022,Cabai Rawit,5.18,2,2,2,2.72,7266.4,245.6,148.7,87.7
Kalimantan Utara,Tarakan,2025,Cabai Rawit,4.2,3,3,2,4.21,9433.2,257.2,119.3,91.9
Kalimantan Selatan,Hulu Sungai Selatan,2020,Tebu,4.41,2,3,1,24.94,73941.1,255.0,125.8,70.0
Bengkulu,Mukomuko,2023,Padi,6.05,3,2,3,24.85,6752.0,245.3,131.7,67.4
Sulawesi Tenggara,Muna,2018,Padi,5.97,2,2,2,21.5,7200.6,241.0,113.4,83.9
Papua Barat Daya,Sorong,2024,Jagung,5.18,2,3,3,10.23,4273.0,222.3,108.9,72.5
Jawa Barat,Cianjur,2019,Padi,5.43,3,3,1,16.57,6629.1,230.1,111.9,83.5
Sulawesi Selatan,Bone,2024,Padi,5.83,3,1,3,27.12,6723.3,262.1,130.9,59.9
Kalimantan Barat,Sanggau,2025,Bawang Merah,5.42,2,3,2,1.12,13455.6,261.3,105.8,67.0
DKI Jakarta,Jakarta Timur,2021,Tebu,4.51,2,1,2,34.51,83459.8,273.5,120.4,73.5
Nusa Tenggara Barat,Lombok Timur,2024,Bawang Merah,5.84,3,2,2,4.48,9584.0,243.4,94.4,76.7
Nusa Tenggara Timur,Belu,2022,Padi,6.56,4,3,3,7.39,6734.6,263.7,133.8,79.2
DKI Jakarta,Jakarta Utara,2018,Cabai Rawit,5.27,2,2,3,1.94,11893.2,234.3,122.4,60.4
Riau,Pekanbaru,2022,Tebu,6.44,2,2,3,56.01,83413.3,266.6,150.4,80.5
Maluku,Maluku Tengah,2025,Bawang Merah,6.32,4,2,3,7.43,10053.6,257.4,104.4,80.2
Jawa Timur,Kediri,2024,Bawang Merah,6.47,3,1,2,2.63,11601.7,289.2,113.7,95.6
Bangka Belitung,Belitung,2023,Padi,4.45,3,3,3,28.23,6143.6,267.9,93.5,75.2
Bengkulu,Bengkulu Utara,2022,Tebu,6.28,2,1,4,28.2,77212.2,255.7,132.6,68.7
Papua Barat Daya,Maybrat,2021,Bawang Merah,5.04,2,2,1,3.85,9927.4,239.3,124.2,89.7
Papua Barat,Teluk Bintuni,2023,Cabai Rawit,5.06,3,3,3,4.06,11432.2,217.7,123.9,81.9
Sumatera Barat,Tanah Datar,2025,Tebu,5.33,3,3,2,73.26,79417.4,234.9,116.4,77.0
Papua Tengah,Intan Jaya,2021,Bawang Merah,4.51,2,3,3,1.4,7907.4,223.1,98.4,91.1
Kalimantan Timur,Kutai Timur,2019,Padi,5.32,3,1,1,18.79,6467.8,282.8,120.0,78.7
Jawa Timur,Tuban,2020,Cabai Rawit,5.95,2,3,3,5.05,11230.6,233.6,112.0,70.5
Maluku,Buru,2023,Bawang Merah,5.3,2,3,1,1.57,12789.0,235.5,128.4,74.5
Kepulauan Riau,Natuna,2025,Bawang Merah,5.39,3,4,2,6.79,13433.5,250.4,128.7,88.4
Kepulauan Riau,Batam,2019,Tebu,4.73,3,4,1,46.63,60930.6,260.1,102.2,64.7
Sumatera Utara,Langkat,2025,Padi,5.49,3,4,2,34.87,4583.8,249.4,121.7,59.1
Maluku Utara,Halmahera Selatan,2024,Bawang Merah,5.16,3,3,3,4.06,10647.7,253.7,136.3,62.4
Kalimantan Barat,Sambas,2021,Tebu,4.94,1,3,2,22.72,65206.3,268.8,118.5,89.2
Jawa Timur,Madiun,2021,Bawang Merah,5.79,3,2,3,0.97,12500.6,222.6,114.8,76.7
Sulawesi Utara,Minahasa Utara,2022,Padi,5.52,2,5,3,12.1,6192.6,261.5,153.1,80.4
Jawa Timur,Malang,2018,Padi,5.28,3,3,3,6.83,7526.4,253.2,113.7,88.5
Nusa Tenggara Barat,Bima,2023,Cabai Rawit,5.86,2,2,3,1.73,10988.4,263.7,104.7,96.2
Papua Selatan,Mappi,2018,Tebu,4.78,1,3,3,14.25,54264.9,249.5,137.8,97.0
Sumatera Utara,Medan,2021,Padi,5.71,4,2,2,23.23,6916.5,259.6,124.4,76.8
Sumatera Selatan,Ogan Komering Ilir,2022,Tebu,5.53,3,3,3,43.1,99858.7,256.9,120.3,70.7
Sulawesi Selatan,Makassar,2022,Jagung,5.55,1,4,2,10.04,4239.5,262.2,119.4,65.6
Riau,Kampar,2022,Padi,6.16,1,2,4,12.54,5934.4,278.8,141.6,74.2
Sumatera Utara,Serdang Bedagai,2022,Bawang Merah,5.67,1,3,1,2.84,10178.2,276.7,114.6,75.3
Lampung,Metro,2024,Jagung,5.43,2,1,5,19.66,7823.0,222.3,122.1,73.8
Sulawesi Selatan,Maros,2020,Cabai Rawit,5.6,3,4,3,5.83,7582.0,211.6,113.1,74.0
Sumatera Utara,Medan,2024,Padi,5.26,4,2,4,7.69,4932.3,266.3,108.6,95.2
DKI Jakarta,Jakarta Timur,2022,Bawang Merah,6.32,2,3,2,3.65,11449.5,242.6,138.0,83.1
Lampung,Lampung Timur,2020,Jagung,6.35,2,3,4,16.93,4264.7,262.6,122.1,65.3
Papua,Yahukimo,2022,Bawang Merah,5.02,3,3,2,1.27,8919.3,253.3,134.7,92.4
Nusa Tenggara Barat,Lombok Barat,2021,Padi,4.8,4,2,3,30.91,5957.5,273.4,134.3,69.7
Papua Pegunungan,Jayawijaya,2022,Bawang Merah,5.12,2,2,3,5.02,9884.9,261.3,125.2,84.6
Jawa Timur,Madiun,2019,Bawang Merah,5.35,4,2,3,5.07,10504.1,230.8,116.2,63.7
Kalimantan Barat,Pontianak,2020,Padi,4.92,2,2,3,8.33,4778.8,253.5,120.8,87.1
Papua Barat Daya,Raja Ampat,2021,Padi,6.44,3,5,2,7.38,7394.7,241.4,120.3,80.0
Sulawesi Tengah,Poso,2024,Padi,5.13,2,2,3,32.99,6571.7,224.5,97.5,99.6
Jawa Tengah,Boyolali,2025,Cabai Rawit,6.79,4,2,1,11.76,11248.0,233.2,125.4,86.3
Sulawesi Utara,Minahasa Utara,2023,Tebu,5.01,2,3,2,25.68,93294.8,249.6,102.0,89.4
Maluku Utara,Kep. Sula,2024,Padi,6.73,2,2,1,7.22,6486.1,236.9,99.4,83.4
Papua Pegunungan,Lanny Jaya,2018,Bawang Merah,5.55,3,2,4,10.1,11375.7,214.9,119.7,75.3
Banten,Tangerang Selatan,2024,Bawang Merah,5.98,4,3,2,0.74,8442.8,230.8,128.4,84.7
Sulawesi Barat,Mamasa,2019,Padi,6.19,1,2,3,7.4,7341.1,247.8,155.4,83.2
Kalimantan Tengah,Palangka Raya,2019,Tebu,4.72,3,4,2,19.8,59790.5,260.5,143.3,92.1
Bangka Belitung,Pangkal Pinang,2020,Bawang Merah,5.74,1,1,2,6.18,9919.2,282.3,149.5,89.8
Banten,Serang,2019,Padi,6.44,3,2,3,9.06,6500.2,244.9,102.3,64.3
Bengkulu,Kepahiang,2024,Cabai Rawit,5.16,3,4,2,1.09,8614.0,224.5,122.4,65.9
Sulawesi Tengah,Parigi Moutong,2025,Padi,7.02,3,2,2,17.92,5333.6,222.3,102.3,92.0
Sulawesi Selatan,Bantaeng,2019,Bawang Merah,5.56,2,3,3,1.29,9729.9,218.2,127.0,81.8
Lampung,Lampung Tengah,2025,Jagung,5.24,1,1,1,38.0,6423.2,228.8,106.7,59.9
Sumatera Utara,Asahan,2018,Padi,5.32,4,3,3,11.14,7791.5,252.1,95.0,81.6
Papua Tengah,Intan Jaya,2018,Cabai Rawit,4.56,2,5,2,7.38,8132.9,256.6,96.5,82.6
Papua Selatan,Mappi,2019,Bawang Merah,6.02,1,2,4,8.67,8754.9,209.7,96.6,62.1
Nusa Tenggara Barat,Dompu,2023,Padi,6.39,2,2,2,10.89,5552.2,234.6,97.6,78.7
Kalimantan Utara,Malinau,2022,Jagung,5.82,3,3,1,21.86,7047.4,278.4,106.4,92.9
Kalimantan Barat,Sambas,2022,Tebu,5.46,1,1,2,20.66,83104.3,264.4,129.2,80.0
DI Yogyakarta,Bantul,2018,Tebu,5.28,3,2,5,30.97,50995.8,233.9,126.0,78.6
Kalimantan Barat,Sambas,2023,Padi,4.85,1,2,3,19.75,6018.8,255.2,119.6,95.0
Maluku Utara,Tidore,2024,Cabai Rawit,5.05,3,5,2,4.81,8989.3,260.2,142.3,92.8
Nusa Tenggara Barat,Mataram,2021,Tebu,6.39,2,2,1,25.41,83088.4,262.1,111.5,88.2
Sumatera Barat,Pesisir Selatan,2024,Bawang Merah,6.29,3,2,1,2.65,10491.4,251.4,96.1,67.3
Sulawesi Selatan,Wajo,2022,Jagung,5.82,1,2,2,26.38,6706.6,261.9,123.4,84.9
Papua Barat,Teluk Wondama,2024,Tebu,5.03,2,3,1,46.04,59554.8,268.6,121.1,94.5
Sumatera Barat,Pesisir Selatan,2022,Bawang Merah,5.45,3,4,2,5.34,12372.4,229.7,117.7,67.4
Kalimantan Utara,Tana Tidung,2019,Tebu,4.62,1,1,1,85.77,76048.2,249.3,122.8,78.5
Kalimantan Selatan,Banjarbaru,2025,Cabai Rawit,5.01,2,5,3,4.35,11065.8,252.5,119.3,82.7
Jawa Barat,Sukabumi,2021,Jagung,6.67,2,3,1,36.58,8302.5,245.8,137.2,71.1
Gorontalo,Pohuwato,2019,Jagung,6.77,2,1,4,23.31,6319.3,276.3,126.2,75.2
Sumatera Barat,Tanah Datar,2022,Bawang Merah,5.93,2,3,2,10.77,11506.2,253.5,110.1,76.0
Kepulauan Riau,Lingga,2018,Cabai Rawit,4.42,3,3,2,2.23,7561.2,244.1,135.3,68.3
Sulawesi Utara,Minahasa,2020,Cabai Rawit,5.95,3,2,2,5.94,10295.9,270.7,114.9,90.9
Sulawesi Tengah,Sigi,2024,Padi,5.42,3,2,5,15.62,6244.9,230.8,119.4,89.9
Sulawesi Tenggara,Konawe,2019,Tebu,6.57,4,3,3,35.2,50804.7,223.9,114.5,79.8
Riau,Rokan Hulu,2020,Bawang Merah,6.11,4,1,5,10.2,10270.5,247.8,121.7,74.2
Maluku Utara,Tidore,2025,Tebu,5.32,3,3,3,23.62,84510.3,240.7,126.0,70.5
Bali,Gianyar,2021,Padi,6.37,1,1,1,38.32,6014.9,273.7,111.0,79.7
Sulawesi Barat,Mamasa,2020,Cabai Rawit,4.83,3,3,4,1.33,10854.9,261.6,117.1,81.5
Nusa Tenggara Timur,Alor,2025,Padi,6.61,3,2,3,7.14,4412.5,247.9,147.7,81.9
DI Yogyakarta,Yogyakarta,2023,Jagung,5.18,3,1,4,27.34,4178.3,242.4,113.4,77.4
Sulawesi Tenggara,Kendari,2020,Jagung,5.5,4,2,2,30.36,7630.0,263.9,135.8,102.6
Sulawesi Tengah,Morowali,2019,Jagung,6.71,2,3,1,16.89,6745.4,261.9,124.1,64.0
Papua Tengah,Intan Jaya,2018,Bawang Merah,5.65,2,3,2,6.58,8253.7,237.2,106.2,87.0
Sumatera Barat,Solok,2019,Padi,5.96,2,3,2,26.73,4913.1,234.4,102.3,69.8
Maluku,Maluku Tengah,2020,Cabai Rawit,5.6,1,1,3,3.07,9932.5,231.7,123.2,89.8
Bangka Belitung,Bangka Selatan,2022,Cabai Rawit,5.91,3,3,2,9.28,6792.2,240.6,122.4,100.5
Gorontalo,Gorontalo,2018,Bawang Merah,5.54,2,3,4,9.89,9656.6,251.7,109.7,95.0
Kalimantan Tengah,Pulang Pisau,2024,Padi,4.87,3,2,2,20.96,7051.4,260.5,137.4,65.0
Bengkulu,Bengkulu Utara,2020,Jagung,6.27,4,5,3,23.66,8672.3,260.6,97.4,93.9
Kalimantan Selatan,Barito Kuala,2020,Jagung,4.64,2,1,2,13.23,7959.7,230.8,120.3,61.9
Sumatera Selatan,Banyuasin,2020,Bawang Merah,5.07,4,5,2,2.06,13793.0,255.7,110.2,76.4
Jambi,Tanjung Jabung Barat,2021,Padi,5.38,4,2,2,6.9,7539.3,265.3,126.9,60.6
Kalimantan Timur,Kutai Kartanegara,2019,Padi,4.37,2,1,2,29.86,6662.9,240.2,100.4,81.3
Sulawesi Selatan,Barru,2024,Bawang Merah,5.95,2,2,4,1.64,8249.9,262.7,111.1,85.4
Kepulauan Riau,Bintan,2024,Tebu,5.39,1,2,2,43.16,95509.2,265.2,112.3,77.5
Papua Barat,Sorong,2023,Bawang Merah,5.9,2,2,2,13.12,9438.6,256.8,128.5,73.6
Papua Tengah,Intan Jaya,2022,Padi,4.75,3,3,2,10.44,4904.4,245.9,126.9,77.3
Aceh,Lhokseumawe,2025,Jagung,5.29,1,2,1,28.56,7632.6,274.7,113.5,69.0
Jawa Timur,Madiun,2019,Padi,5.8,4,3,3,16.11,6732.8,263.6,123.3,98.6
Sumatera Utara,Deli Serdang,2021,Jagung,4.92,3,3,5,20.75,8569.6,227.4,152.6,78.1
Sulawesi Barat,Polewali Mandar,2019,Bawang Merah,4.64,5,3,3,8.31,9580.7,275.3,121.4,92.0
Bengkulu,Bengkulu,2020,Bawang Merah,4.64,1,2,1,4.06,7918.6,197.0,132.9,76.0
Gorontalo,Bone Bolango,2020,Cabai Rawit,6.65,3,3,2,5.02,9434.3,208.5,128.8,77.3
Papua Barat Daya,Maybrat,2021,Tebu,5.12,3,2,1,38.92,56505.8,260.6,120.9,70.1
Banten,Tangerang,2023,Jagung,6.27,3,3,1,6.43,4961.1,254.2,154.1,75.7
Kalimantan Timur,Berau,2023,Padi,5.2,3,5,2,18.65,4633.9,245.6,107.4,67.8
Banten,Serang,2024,Padi,5.65,1,4,3,7.13,7383.9,261.5,99.2,70.9
Jawa Timur,Kediri,2018,Jagung,5.74,1,4,2,12.98,5306.3,257.0,145.7,70.4
Kalimantan Barat,Landak,2019,Bawang Merah,4.57,2,1,3,3.92,8078.7,230.7,121.5,87.7
Bali,Gianyar,2021,Bawang Merah,5.5,3,3,3,4.28,9229.8,223.1,113.4,75.0
Kalimantan Tengah,Pulang Pisau,2019,Tebu,4.5,3,1,4,98.36,70107.2,279.2,90.6,75.8
Papua Tengah,Intan Jaya,2024,Bawang Merah,5.47,3,2,3,1.6,12397.2,207.5,152.5,78.0
